id,texto,sentimiento,confianza
1,"El servicio al cliente es pésimo, no ayudan 😊",negativo,0.85
2,Vino incompleto y faltaban piezas importantes.,negativo,0.82
3,Estoy esperando reembolso desde hace semanas!,negativo,0.96
4,Tardanza excesiva y producto mediocre,negativo,0.97
5,"No cumple con lo prometido, decepcionante",negativo,0.86
6,"Mal servicio y peor producto, evítenlo",negativo,0.73
7,Producto completamente diferente a las fotos,negativo,0.71
8,"Tardó más de un mes en llegar, terrible",negativo,0.75
9,Producto estándar sin características especiales,neutro,0.62
10,"Me encantó, justo lo que estaba buscando",positivo,0.81
11,Cumple expectativas básicas solamente,neutro,0.84
12,"Estoy feliz con mi compra, gracias",positivo,0.97
13,"Dinero tirado a la basura, muy malo.",negativo,0.8
14,"Es lo que esperaba, ni más ni menos",neutro,0.77
15,"Es un producto básico, cumple lo mínimo",neutro,0.69
16,Es aceptable por el precio que tiene,neutro,0.72
17,Diseño hermoso y funcional a la vez,positivo,0.92
18,"Ni bueno ni malo, simplemente normal",neutro,0.58
19,"Cumple su función básica, sin más",neutro,0.79
20,"No tengo ninguna queja, todo bien",positivo,0.86
21,"Dinero tirado a la basura, muy malo",negativo,0.79
22,"Cinco estrellas sin dudarlo, perfecto",positivo,0.81
23,"Llegó bien protegido, excelente empaque.",positivo,0.92
24,"Mal servicio y peor producto, evítenlo",negativo,0.77
25,"Me solucionó el problema que tenía, genial",positivo,0.98
26,Calidad superior a productos similares,positivo,0.77
27,"Exactamente como en las fotos, muy bueno",positivo,0.92
28,Cumple expectativas básicas solamente,neutro,0.73
29,"Ni bueno ni malo, simplemente normal",neutro,0.82
30,"Ni bueno ni malo, simplemente normal!",neutro,0.59
31,"Cinco estrellas sin dudarlo, perfecto.",positivo,0.85
32,Producto resistente y bien construido,positivo,0.9
33,"Material muy barato y frágil, se rompió rápido.",negativo,0.86
34,Llegó el producto equivocado y no solucionan!,negativo,0.72
35,La descripción coincide perfectamente con el producto,positivo,0.78
36,Precio justo para la calidad que ofrece!,positivo,0.87
37,"No sirve para lo que lo necesitaba, inútil",negativo,0.84
38,"Pésima calidad, no lo recomiendo para nada",negativo,0.73
39,No tengo quejas pero tampoco elogios,neutro,0.69
40,Llegó antes de lo esperado y en perfectas condiciones,positivo,0.83
41,"Recibí exactamente lo que pedí, perfecto.",positivo,0.88
42,"Exactamente como en las fotos, muy bueno",positivo,0.96
43,Sorprendido gratamente con la calidad,positivo,0.76
44,No me arrepiento pero no estoy emocionado,neutro,0.53
45,"Material de excelente calidad, se nota!",positivo,0.78
46,Envío seguro y producto intacto!,positivo,0.84
47,No es la gran cosa pero funciona,neutro,0.75
48,El empaque venía destruido y el producto dañado,negativo,0.94
49,No responden mensajes ni dan soluciones,negativo,0.86
50,"Es un producto básico, cumple lo mínimo",neutro,0.72
51,Producto completamente diferente a las fotos.,negativo,0.72
52,"Es lo que esperaba, ni más ni menos",neutro,0.85
53,"Cinco estrellas sin dudarlo, perfecto",positivo,0.76
54,No cumple ninguna de las características anunciadas,negativo,0.95
55,ENVÍO SEGURO Y PRODUCTO INTACTO,positivo,0.83
56,"Cinco estrellas sin dudarlo, perfecto",positivo,0.8
57,"El vendedor bloqueó mis mensajes, estafa.",negativo,0.84
58,"Me solucionó el problema que tenía, genial",positivo,0.9
59,Relación calidad-precio insuperable,positivo,0.87
60,"Hace lo que debe hacer, nada más.",neutro,0.68
61,Sorprendido gratamente con la calidad!,positivo,0.86
62,Diseño hermoso y funcional a la vez 👍,positivo,0.85
63,Muy caro para la porquería que es!,negativo,0.75
64,"Recibí exactamente lo que pedí, perfecto",positivo,0.83
65,"No lo recomiendo, muy mala experiencia.",negativo,0.83
66,El empaque venía destruido y el producto dañado.,negativo,0.82
67,"Producto inservible, no compren",negativo,0.73
68,"Está bien por el momento, veremos con el tiempo.",neutro,0.53
69,Precio justo para la calidad que ofrece,positivo,0.93
70,"Materiales de muy baja calidad, se nota!",negativo,0.72
71,"Producto duradero y resistente, me gusta",positivo,0.79
72,"Llegó usado o defectuoso, inaceptable!",negativo,0.88
73,Llegó dañado y el vendedor no responde,negativo,0.84
74,"Producto de imitación, no es original",negativo,0.95
75,"Funciona perfecto, tal como se describe",positivo,0.99
76,"Material de excelente calidad, se nota",positivo,0.79
77,"Producto de imitación, no es original",negativo,0.77
78,Superó mis expectativas en todo sentido,positivo,0.75
79,"No funciona como se describe, mentiras!",negativo,0.95
80,Producto versátil y de buena calidad,positivo,0.88
81,"Vendedor irresponsable, no responde reclamos",negativo,0.92
82,El mejor producto que he comprado este año,positivo,0.88
83,"Mejor de lo que esperaba, muy contento",positivo,0.76
84,"La calidad es increíble, totalmente recomendado!",positivo,0.76
85,"Exactamente como en las fotos, muy bueno",positivo,0.76
86,"El vendedor bloqueó mis mensajes, estafa",negativo,0.74
87,"Producto promedio, estándar del mercado",neutro,0.81
88,"Material muy barato y frágil, se rompió rápido",negativo,0.88
89,"Es lo que esperaba, ni más ni menos",neutro,0.54
90,"Recomendado para todos, excelente compra",positivo,0.94
91,"Me solucionó el problema que tenía, genial",positivo,0.79
92,"Mal servicio y peor producto, evítenlo!",negativo,0.89
93,El producto no sirve absolutamente para nada,negativo,0.74
94,"Producto duradero y resistente, me gusta",positivo,0.77
